#Gene_ID	Gene_symbol
gene0	Vom2r4
gene1	Vom2r-ps8
gene2	Vom2r5
gene3	Vom2r6
gene4	LOC100360735
gene5	LOC683825
gene6	Vom2r-ps12
gene7	LOC683850
gene8	Raet1e
gene9	Raet1c
gene10	LOC679825
gene11	LOC100913013
gene12	LOC103690290
gene13	LOC103694979
gene14	LOC103690937
gene15	LOC100910848
gene16	RGD1561843
gene17	LOC102548781
gene18	Lrp11
gene19	LOC102548690
gene20	Pcmt1
gene21	Nup43
gene22	Lats1
gene23	LOC684011
gene24	Katna1
gene25	LOC493584
gene26	Ginm1
gene27	RGD1563636
gene28	Ppil4
gene29	Zc3h12d
gene30	Tab2
gene31	LOC365034
gene32	Ust
gene33	LOC365036
gene34	Sash1
gene35	LOC292471
gene36	LOC100911063
gene37	Samd5
gene38	RGD1560633
gene39	Stxbp5
gene40	LOC365039
gene41	LOC103690916
gene42	LOC103690917
gene43	Vom1r-ps1
gene44	Adgb
gene45	LOC102555130
gene46	Rab32
gene47	Grm1
gene48	Dctn3l1
gene49	Shprh
gene50	LOC102547024
gene51	LOC102547090
gene52	Fbxo30
gene53	Epm2a
gene54	LOC102547170
gene55	LOC102547285
gene56	LOC102549841
gene57	LOC365045
gene58	LOC502220
gene59	LOC365046
gene60	Utrn
gene61	LOC103690918
gene62	Trnal-uaa
gene63	Stx11
gene64	Sf3b5
gene65	LOC365047
gene66	Plagl1
gene67	Zc2hc1b
gene68	Ltv1
gene69	Phactr2
gene70	LOC103690919
gene71	Fuca2
gene72	Pex3
gene73	Adat2
gene74	RGD1563591
gene75	Aig1
gene76	Hivep2
gene77	LOC100912436
gene78	Gpr126
gene79	LOC103690920
gene80	Vta1
gene81	Gje1
gene82	LOC102552086
gene83	Nmbr
gene84	LOC102552144
gene85	LOC102552210
gene86	LOC102552339
gene87	LOC103694980
gene88	LOC102552459
gene89	LOC102552525
gene90	LOC102546491
gene91	LOC102546604
gene92	LOC102546831
gene93	LOC103690923
gene94	Cited2
gene95	Txlnb
gene96	LOC100360362
gene97	LOC365050
gene98	Heca
gene99	Abracl
gene100	Reps1
gene101	Ect2l
gene102	LOC103694981
gene103	LOC103690924
gene104	Ccdc28a
gene105	LOC102552999
gene106	LOC102549339
gene107	Nhsl1
gene108	Hebp2
gene109	LOC102557380
gene110	RGD1309903
gene111	RGD1560303
gene112	Perp
gene113	Tnfaip3
gene114	LOC103690925
gene115	LOC103690926
gene116	LOC365052
gene117	LOC102550206
gene118	LOC100912703
gene119	Olig3
gene120	LOC365055
gene121	LOC103690927
gene122	Ifngr1
gene123	LOC102550716
gene124	Il22ra2
gene125	Il20ra
gene126	LOC103690940
gene127	Slc35d3
gene128	Pex7
gene129	LOC102547604
