#Gene_ID	Gene_symbol
ENSRNOG00000046319	Vom2r3
ENSRNOG00000047964	LOC100909608
ENSRNOG00000029249	Vom2r4
ENSRNOG00000050370	Vom2r6
ENSRNOG00000032365	LOC100909608
ENSRNOG00000040300	Raet1c
ENSRNOG00000023667	LOC102548267
ENSRNOG00000040305	AABR06000136.1
ENSRNOG00000050129	LOC102556724
ENSRNOG00000040316	AABR06000154.1
ENSRNOG00000040309	LOC679825
ENSRNOG00000023659	Raet1d
ENSRNOG00000029897	AABR06000165.1
ENSRNOG00000023718	AABR06000166.1
ENSRNOG00000042852	LOC679782
ENSRNOG00000023653	AABR06000168.1
ENSRNOG00000014303	Lrp11
ENSRNOG00000014330	Pcmt1
ENSRNOG00000049505	Nup43
ENSRNOG00000014916	Lats1
ENSRNOG00000014996	Katna1
ENSRNOG00000015239	Ginm1
ENSRNOG00000015552	Ppil4
ENSRNOG00000016041	Zc3h12d
ENSRNOG00000016054	Tab2
ENSRNOG00000016381	Ust
ENSRNOG00000023568	AABR06000198.1
ENSRNOG00000013160	Sash1
ENSRNOG00000023549	Samd5
ENSRNOG00000040273	AABR06000249.1
ENSRNOG00000013351	Stxbp5
ENSRNOG00000042741	Adgb
ENSRNOG00000014258	Rab32
ENSRNOG00000014290	Grm1
ENSRNOG00000041566	AABR06000306.1
ENSRNOG00000014431	AABR06000310.1
ENSRNOG00000014450	Shprh
ENSRNOG00000014852	Fbxo30
ENSRNOG00000040242	Epm2a
ENSRNOG00000026291	AABR06000351.1
ENSRNOG00000011058	Utrn
ENSRNOG00000014902	AABR06000382.1
ENSRNOG00000014908	Sf3b5
ENSRNOG00000014913	AABR06000384.1
ENSRNOG00000036310	AABR06000384.2
ENSRNOG00000025587	Plagl1
ENSRNOG00000042705	Zc2hc1b
ENSRNOG00000043188	AABR06000391.1
ENSRNOG00000015217	Ltv1
ENSRNOG00000015473	Phactr2
ENSRNOG00000015551	Fuca2
ENSRNOG00000015660	Pex3
ENSRNOG00000046983	Adat2
ENSRNOG00000010753	Aig1
ENSRNOG00000010742	AABR06000425.1
ENSRNOG00000011015	Hivep2
ENSRNOG00000011399	LOC100361713
ENSRNOG00000011411	Gpr126
ENSRNOG00000011540	Vta1
ENSRNOG00000012092	Gje1
ENSRNOG00000012103	Nmbr
ENSRNOG00000047798	AABR06000520.1
ENSRNOG00000050961	AABR06000535.1
ENSRNOG00000047193	LOC100909435
ENSRNOG00000046170	AABR06000596.1
ENSRNOG00000047746	LOC100909555
ENSRNOG00000049060	AABR06000604.2
ENSRNOG00000048872	AABR06000604.1
ENSRNOG00000050434	AABR06000605.1
ENSRNOG00000011460	RGD1309903
ENSRNOG00000012193	Cited2
ENSRNOG00000048504	AABR06000675.1
ENSRNOG00000012249	Txlnb
ENSRNOG00000031089	LOC100360362
ENSRNOG00000012466	Heca
ENSRNOG00000040145	Abracl
ENSRNOG00000040140	Ect2l
ENSRNOG00000012885	Ccdc28a
ENSRNOG00000011386	Nhsl1
ENSRNOG00000011409	Hebp2
ENSRNOG00000048200	AABR06000719.1
ENSRNOG00000025799	RGD1560303
ENSRNOG00000011994	Perp
ENSRNOG00000049517	Tnfaip3
ENSRNOG00000031764	AABR06000755.1
ENSRNOG00000049636	AABR06000756.1
ENSRNOG00000012057	Olig3
ENSRNOG00000049106	AABR06000770.1
ENSRNOG00000012074	Ifngr1
ENSRNOG00000012259	Il22ra2
ENSRNOG00000012286	Il20ra
ENSRNOG00000046026	AABR06000783.1
ENSRNOG00000012311	Slc35d3
ENSRNOG00000012322	Pex7
ENSRNOG00000029825	AABR06000786.1
ENSRNOG00000031700	Map3k5
ENSRNOG00000012701	Map7
ENSRNOG00000013052	Bclaf1
ENSRNOG00000013436	Pde7b
ENSRNOG00000014313	Myb
ENSRNOG00000014531	Hbs1l
ENSRNOG00000014907	Aldh8a1
ENSRNOG00000030186	AABR06000853.1
ENSRNOG00000023961	AABR06000860.1
ENSRNOG00000014979	Themis
ENSRNOG00000047605	Ptprk
ENSRNOG00000049428	AABR06000875.1
ENSRNOG00000049777	AABR06000881.1
ENSRNOG00000046555	AABR06000895.1
ENSRNOG00000013969	Ahi1
ENSRNOG00000046617	AABR06000901.1
ENSRNOG00000015605	PTPRK
ENSRNOG00000047754	AABR06000933.1
ENSRNOG00000029533	AABR06000941.1
ENSRNOG00000050254	AABR06000944.1
ENSRNOG00000028519	RGD1560695
ENSRNOG00000046438	RGD1560695
ENSRNOG00000011134	Lama2
ENSRNOG00000011245	Arhgap18
ENSRNOG00000030796	AABR06000983.1
ENSRNOG00000011711	AABR06001024.1
ENSRNOG00000011720	L3mbtl3
ENSRNOG00000033517	LOC100360791
ENSRNOG00000039955	Samd3
ENSRNOG00000047887	AABR06001029.1
ENSRNOG00000050801	AABR06001031.2
ENSRNOG00000049569	AABR06001031.1
ENSRNOG00000011855	Tmem200a
ENSRNOG00000047783	Tmem200a
ENSRNOG00000026462	RGD1559962
ENSRNOG00000012334	AABR06001049.1
ENSRNOG00000047821	Smlr1
ENSRNOG00000012346	Epb41l2
ENSRNOG00000013202	Akap7
ENSRNOG00000050301	AABR06001074.1
ENSRNOG00000013304	Arg1
ENSRNOG00000013422	Med23
ENSRNOG00000013791	Enpp3
ENSRNOG00000013994	Enpp1
ENSRNOG00000015036	Ctgf
ENSRNOG00000047882	AABR06001084.1
ENSRNOG00000015321	Moxd1
ENSRNOG00000015670	Stx7
ENSRNOG00000026096	Taar9
ENSRNOG00000047463	Taar8c
ENSRNOG00000048934	LOC100910174
ENSRNOG00000030414	Taar8a
ENSRNOG00000039872	AABR06001092.3
ENSRNOG00000048072	Taar7h
ENSRNOG00000048265	Taar7g
ENSRNOG00000046903	Taar7e
ENSRNOG00000045914	Taar7d
ENSRNOG00000047825	Taar7c
ENSRNOG00000046302	Taar7b
ENSRNOG00000016095	Taar7a
ENSRNOG00000016089	AABR06001092.1
ENSRNOG00000039869	Taar5
ENSRNOG00000029877	Taar4
ENSRNOG00000025982	Taar3
ENSRNOG00000025951	Taar2
ENSRNOG00000016073	Taar1
ENSRNOG00000016219	Vnn1
ENSRNOG00000039865	Vnn3
ENSRNOG00000016371	Slc18b1
ENSRNOG00000016411	LOC100359593
ENSRNOG00000016627	Eya4
ENSRNOG00000048248	AABR06001142.1
ENSRNOG00000016700	Tcf21
ENSRNOG00000011114	Tbpl1
ENSRNOG00000011161	Slc2a12
ENSRNOG00000011787	AABR06001169.1
ENSRNOG00000011815	Sgk1
ENSRNOG00000050568	LOC100361380
ENSRNOG00000048976	LOC367485
ENSRNOG00000012122	Clvs2
ENSRNOG00000029303	AABR06001228.2
ENSRNOG00000012588	AABR06001228.1
ENSRNOG00000012609	Trdn
ENSRNOG00000050281	AABR06001247.1
ENSRNOG00000045725	AABR06001292.1
ENSRNOG00000049376	AABR06001310.1
ENSRNOG00000048649	AABR06001327.1
ENSRNOG00000048497	AABR06001371.1
ENSRNOG00000029608	Nkain2
ENSRNOG00000031050	AABR06001375.1
ENSRNOG00000013323	Rnf217
ENSRNOG00000021478	Tpd52l1
ENSRNOG00000021442	Hddc2
ENSRNOG00000041720	5S_rRNA
ENSRNOG00000029641	AABR06001431.1
ENSRNOG00000013364	Hey2
ENSRNOG00000014004	Ncoa7
ENSRNOG00000045369	5S_rRNA
ENSRNOG00000014190	Hint3
ENSRNOG00000014240	Trmt11
ENSRNOG00000014517	AABR06001455.1
ENSRNOG00000042944	Cenpw
ENSRNOG00000050157	AABR06001473.1
ENSRNOG00000011568	Rspo3
ENSRNOG00000011588	Rnf146
ENSRNOG00000011622	Echdc1
ENSRNOG00000042309	RGD1310049
ENSRNOG00000012324	Soga3
ENSRNOG00000023407	Mrpl36
ENSRNOG00000023387	LOC100912599
ENSRNOG00000012581	RGD1311933
ENSRNOG00000039788	LOC102549716
ENSRNOG00000039785	AABR06001519.2
ENSRNOG00000029219	Zfp72
ENSRNOG00000039783	Rpl26-ps2
ENSRNOG00000028357	Lrrc14b
ENSRNOG00000012775	Ccdc127
ENSRNOG00000013331	Sdha
ENSRNOG00000014485	Pdcd6
ENSRNOG00000014721	Ahrr
ENSRNOG00000039776	Exoc3
ENSRNOG00000015159	Slc9a3
ENSRNOG00000015465	Cep72
ENSRNOG00000028261	Tppp
ENSRNOG00000039743	Zdhhc11
ENSRNOG00000015676	Brd9
ENSRNOG00000015810	Trip13
ENSRNOG00000045233	5S_rRNA
ENSRNOG00000016103	Nkd2
ENSRNOG00000016372	Slc12a7
ENSRNOG00000026501	Slc6a19
ENSRNOG00000016253	Slc6a18
ENSRNOG00000025327	Tert
ENSRNOG00000016923	Clptm1l
ENSRNOG00000017302	Slc6a3
ENSRNOG00000017930	Lpcat1
ENSRNOG00000025756	AABR06001535.1
ENSRNOG00000047971	Mrpl36
ENSRNOG00000049394	LOC679739
ENSRNOG00000012720	Irx4
ENSRNOG00000012742	Irx2
ENSRNOG00000012773	AABR06001564.1
ENSRNOG00000033609	Irx1
ENSRNOG00000016812	Adamts16
ENSRNOG00000047117	AABR06001589.1
ENSRNOG00000023053	Ice1
ENSRNOG00000047603	AABR06001607.1
ENSRNOG00000017095	AABR06001610.1
ENSRNOG00000017150	Med10
ENSRNOG00000043733	AABR06001618.1
ENSRNOG00000034075	Ube2ql1
ENSRNOG00000017254	Nsun2
ENSRNOG00000017601	Srd5a1
ENSRNOG00000017613	Papd7
ENSRNOG00000017678	AABR06001631.1
ENSRNOG00000032150	Adcy2
ENSRNOG00000047406	RGD1308544
ENSRNOG00000027422	Fastkd3
ENSRNOG00000017826	Mtrr
ENSRNOG00000042308	LOC680200
ENSRNOG00000017963	AABR06001675.1
ENSRNOG00000016462	Zfp87
ENSRNOG00000049259	LOC102549842
ENSRNOG00000025740	AABR06001676.1
ENSRNOG00000049256	rno-mir-29b-2
ENSRNOG00000046712	Mir29c
ENSRNOG00000049881	LOC100365136
ENSRNOG00000047145	--
ENSRNOG00000046353	LOC501406
ENSRNOG00000048846	AABR06001801.1
ENSRNOG00000023081	AABR06001951.1
ENSRNOG00000016368	Ppp1r14c
ENSRNOG00000016286	Iyd
ENSRNOG00000016011	Plekhg1
ENSRNOG00000021744	AABR06001975.1
ENSRNOG00000019582	Mthfd1l
ENSRNOG00000030564	AABR06001983.1
ENSRNOG00000019549	Akap12
ENSRNOG00000019544	Zbtb2
ENSRNOG00000019501	Rmnd1
ENSRNOG00000019489	RGD1305235
ENSRNOG00000024280	Ccdc170
ENSRNOG00000019358	Esr1
ENSRNOG00000018960	Syne1
ENSRNOG00000046149	AABR06002014.1
ENSRNOG00000039578	AABR06002015.1
ENSRNOG00000018858	Myct1
ENSRNOG00000018808	Vip
ENSRNOG00000024077	Fbxo5
ENSRNOG00000018773	Mtrf1l
ENSRNOG00000018690	Rgs17
ENSRNOG00000033265	AABR06002048.1
ENSRNOG00000049756	AABR06002068.1
ENSRNOG00000018191	Oprm1
ENSRNOG00000018163	Ipcef1
ENSRNOG00000018052	Cnksr3
ENSRNOG00000004144	AABR06002099.1
ENSRNOG00000016919	Scaf8
ENSRNOG00000016728	Tiam2
ENSRNOG00000016549	Tfb1m
ENSRNOG00000023531	Cldn20
ENSRNOG00000016490	Nox3
ENSRNOG00000017030	Arid1b
ENSRNOG00000016973	RGD1307262
ENSRNOG00000029049	Zdhhc14
ENSRNOG00000046874	Snx9
ENSRNOG00000017114	Synj2
ENSRNOG00000017889	Serac1
ENSRNOG00000018007	Gtf2h5
ENSRNOG00000050168	AABR06002206.1
ENSRNOG00000018012	Tulp4
ENSRNOG00000045491	5S_rRNA
ENSRNOG00000018158	Tmem181
ENSRNOG00000018207	Dynlt1
ENSRNOG00000018321	Sytl3
ENSRNOG00000018524	Ezr
ENSRNOG00000018762	Rsph3
ENSRNOG00000018915	Tagap
ENSRNOG00000018935	AABR06002223.1
ENSRNOG00000030210	Fndc1
ENSRNOG00000017122	LOC100912128
ENSRNOG00000030165	AABR06002246.1
ENSRNOG00000018013	Park2
ENSRNOG00000044833	5S_rRNA
ENSRNOG00000017731	Agpat4
ENSRNOG00000017419	Map3k4
ENSRNOG00000017412	AABR06002285.1
ENSRNOG00000017223	Plg
ENSRNOG00000022946	Slc22a3
ENSRNOG00000016625	Slc22a2
ENSRNOG00000050130	AABR06002296.1
ENSRNOG00000016337	Slc22a1
ENSRNOG00000014997	Igf2r
ENSRNOG00000014971	Mas1
ENSRNOG00000014965	Mrgprh
ENSRNOG00000023140	Pnldc1
ENSRNOG00000014582	Mrpl18
ENSRNOG00000014160	Tcp1
ENSRNOG00000013975	RGD1562948
ENSRNOG00000019189	Acat2
ENSRNOG00000019091	Wtap
ENSRNOG00000019048	Sod2
ENSRNOG00000017174	LOC100910212
ENSRNOG00000048297	QK
ENSRNOG00000017363	AABR06002341.1
ENSRNOG00000017367	Pabpc6
ENSRNOG00000049044	AABR06002356.1
ENSRNOG00000011243	MGC94891
ENSRNOG00000011310	Pde10a
ENSRNOG00000012229	T
ENSRNOG00000024172	T2
ENSRNOG00000024149	Prr18
ENSRNOG00000024140	Sft2d1
ENSRNOG00000012415	Mpc1
ENSRNOG00000012974	LOC102547568
ENSRNOG00000012964	Ccr6
ENSRNOG00000013119	Fgfr1op
ENSRNOG00000013190	Rnaset2
ENSRNOG00000013194	Rps6ka2
ENSRNOG00000039255	Gpr31
ENSRNOG00000013374	Tcp10b
ENSRNOG00000033901	Ttll2
ENSRNOG00000047027	Unc93a
ENSRNOG00000023753	Mllt4
ENSRNOG00000014157	AABR06002430.1
ENSRNOG00000050459	LOC100362047
ENSRNOG00000026000	LOC681871
ENSRNOG00000046250	LOC100911027
ENSRNOG00000049155	RGD1560718
ENSRNOG00000013671	Vom2r9
ENSRNOG00000022921	Dact2
ENSRNOG00000014166	Smoc2
ENSRNOG00000010529	Thbs2
ENSRNOG00000015609	Wdr27
ENSRNOG00000015597	LOC100125364
ENSRNOG00000015337	Phf10
ENSRNOG00000015293	Tcte3
ENSRNOG00000015230	Ermard
ENSRNOG00000043245	AABR06002662.1
ENSRNOG00000001488	Psmb1
ENSRNOG00000001489	Tbp
ENSRNOG00000001490	Pdcd2
ENSRNOG00000021493	Prdm9
ENSRNOG00000049401	AABR06002685.1
ENSRNOG00000014434	Chd1
ENSRNOG00000048190	Rgmb
ENSRNOG00000048756	AABR06002739.1
ENSRNOG00000031351	AABR06002758.1
ENSRNOG00000012692	Riok2
ENSRNOG00000012988	Lix1
ENSRNOG00000047387	Lnpep
ENSRNOG00000035654	Mir99b
ENSRNOG00000035453	Mir3596c
ENSRNOG00000035572	Mir125a
ENSRNOG00000039076	LOC688452
ENSRNOG00000010994	Has1
ENSRNOG00000011174	Fpr1
ENSRNOG00000031331	Fpr2
ENSRNOG00000045732	Fpr-rs3
