#Gene_ID	Gene_symbol	description
ENSRNOG00000046319	Vom2r3	vomeronasal 2 receptor%2C 3 [Source:RGD Symbol%3BAcc:1565892]
ENSRNOG00000047964	LOC100909608	vomeronasal type-2 receptor 26-like [Source:RGD Symbol%3BAcc:6502593]
ENSRNOG00000050370	Vom2r6	vomeronasal 2 receptor%2C 6 [Source:RGD Symbol%3BAcc:1562697]
ENSRNOG00000032365	Vom2r5	vomeronasal 2 receptor%2C 5 [Source:RGD Symbol%3BAcc:1585898]
ENSRNOG00000040300	Raet1l	retinoic acid early transcript 1L [Source:RGD Symbol%3BAcc:1308785]
ENSRNOG00000058808	AABR07000109.1	--
ENSRNOG00000061316	AABR07000121.1	--
ENSRNOG00000050129	AABR07000137.1	--
ENSRNOG00000040316	AABR07000145.1	--
ENSRNOG00000023659	Raet1d	retinoic acid early transcript delta [Source:RGD Symbol%3BAcc:1565376]
ENSRNOG00000029897	AABR07000156.1	--
ENSRNOG00000042852	LOC679782	similar to Retinoic acid early inducible protein 1 delta precursor (RAE-1delta) [Source:RGD Symbol%3BAcc:1584760]
ENSRNOG00000061806	AABR07000158.1	--
ENSRNOG00000055877	AABR07000159.4	--
ENSRNOG00000014303	Lrp11	LDL receptor related protein 11 [Source:RGD Symbol%3BAcc:1308602]
ENSRNOG00000051899	AABR07000159.1	--
ENSRNOG00000014330	Pcmt1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1 [Source:RGD Symbol%3BAcc:3268]
ENSRNOG00000049505	Nup43	nucleoporin 43 [Source:RGD Symbol%3BAcc:1596513]
ENSRNOG00000014916	Lats1	large tumor suppressor kinase 1 [Source:RGD Symbol%3BAcc:1564085]
ENSRNOG00000014996	Katna1	katanin catalytic subunit A1 [Source:RGD Symbol%3BAcc:1303062]
ENSRNOG00000015239	Ginm1	glycoprotein integral membrane 1 [Source:RGD Symbol%3BAcc:1309759]
ENSRNOG00000055508	AABR07000159.3	--
ENSRNOG00000053710	AABR07000159.2	--
ENSRNOG00000015552	Ppil4	peptidylprolyl isomerase like 4 [Source:RGD Symbol%3BAcc:1311051]
ENSRNOG00000016041	Zc3h12d	zinc finger CCCH type containing 12D [Source:RGD Symbol%3BAcc:1597152]
ENSRNOG00000016054	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:RGD Symbol%3BAcc:1309527]
ENSRNOG00000016381	Ust	uronyl-2-sulfotransferase [Source:RGD Symbol%3BAcc:1304743]
ENSRNOG00000054005	AABR07000171.1	--
ENSRNOG00000059137	AABR07000173.1	--
ENSRNOG00000013160	Sash1	SAM and SH3 domain containing 1 [Source:RGD Symbol%3BAcc:1566017]
ENSRNOG00000052788	AABR07000175.1	--
ENSRNOG00000023549	Samd5	sterile alpha motif domain containing 5 [Source:RGD Symbol%3BAcc:1311012]
ENSRNOG00000031859	RGD1562402	similar to 60S ribosomal protein L27a [Source:RGD Symbol%3BAcc:1562402]
ENSRNOG00000013351	Stxbp5	syntaxin binding protein 5 [Source:RGD Symbol%3BAcc:708517]
ENSRNOG00000061755	AC096981.1	--
ENSRNOG00000053182	AABR07000200.1	--
ENSRNOG00000042741	Adgb	androglobin [Source:RGD Symbol%3BAcc:1564259]
ENSRNOG00000014258	Rab32	RAB32%2C member RAS oncogene family [Source:RGD Symbol%3BAcc:1559997]
ENSRNOG00000057302	AABR07000207.1	--
ENSRNOG00000014290	Grm1	glutamate metabotropic receptor 1 [Source:RGD Symbol%3BAcc:2742]
ENSRNOG00000041566	AABR07000220.1	--
ENSRNOG00000014431	AABR07000222.1	--
ENSRNOG00000014450	Shprh	SNF2 histone linker PHD RING helicase [Source:RGD Symbol%3BAcc:1310342]
ENSRNOG00000014852	Fbxo30	F-box protein 30 [Source:RGD Symbol%3BAcc:1359367]
ENSRNOG00000052274	AABR07000227.1	--
ENSRNOG00000040242	Epm2a	epilepsy%2C progressive myoclonus type 2A [Source:RGD Symbol%3BAcc:71047]
ENSRNOG00000054906	AABR07000239.1	--
ENSRNOG00000058048	AABR07000247.1	--
ENSRNOG00000051844	AABR07000248.1	--
ENSRNOG00000053880	AABR07000248.2	--
ENSRNOG00000011058	Utrn	utrophin [Source:RGD Symbol%3BAcc:3947]
ENSRNOG00000014902	Stx11	syntaxin 11 [Source:RGD Symbol%3BAcc:1304744]
ENSRNOG00000014908	Sf3b5	splicing factor 3b%2C subunit 5 [Source:RGD Symbol%3BAcc:1586993]
ENSRNOG00000036310	AABR07000257.1	--
ENSRNOG00000025587	Plagl1	PLAG1 like zinc finger 1 [Source:RGD Symbol%3BAcc:3014]
ENSRNOG00000042705	Zc2hc1b	zinc finger%2C C2HC-type containing 1B [Source:RGD Symbol%3BAcc:2319701]
ENSRNOG00000043188	AABR07000261.1	--
ENSRNOG00000015217	Ltv1	LTV1 ribosome biogenesis factor [Source:RGD Symbol%3BAcc:1311264]
ENSRNOG00000015473	Phactr2	phosphatase and actin regulator 2 [Source:RGD Symbol%3BAcc:1303141]
ENSRNOG00000015551	Fuca2	fucosidase%2C alpha-L- 2%2C plasma [Source:RGD Symbol%3BAcc:1303053]
ENSRNOG00000015660	Pex3	peroxisomal biogenesis factor 3 [Source:RGD Symbol%3BAcc:621636]
ENSRNOG00000046983	Adat2	adenosine deaminase%2C tRNA-specific 2 [Source:MGI Symbol%3BAcc:MGI:1914007]
ENSRNOG00000016624	AABR07000276.1	--
ENSRNOG00000010753	Aig1	androgen-induced 1 [Source:RGD Symbol%3BAcc:1562920]
ENSRNOG00000011015	Hivep2	human immunodeficiency virus type I enhancer binding protein 2 [Source:RGD Symbol%3BAcc:61988]
ENSRNOG00000011399	Rn50_1_0101.1	--
ENSRNOG00000011411	Adgrg6	adhesion G protein-coupled receptor G6 [Source:RGD Symbol%3BAcc:1308551]
ENSRNOG00000011540	Vta1	vesicle trafficking 1 [Source:RGD Symbol%3BAcc:1305031]
ENSRNOG00000012092	Gje1	gap junction protein%2C epsilon 1 [Source:RGD Symbol%3BAcc:1598009]
ENSRNOG00000012103	Nmbr	neuromedin B receptor [Source:RGD Symbol%3BAcc:3181]
ENSRNOG00000059930	AABR07000304.1	--
ENSRNOG00000059032	AABR07000325.1	--
ENSRNOG00000056005	AABR07000332.3	--
ENSRNOG00000055342	AABR07000332.2	--
ENSRNOG00000047798	AABR07000332.1	--
ENSRNOG00000059769	AABR07000356.1	--
ENSRNOG00000047193	Olr905	olfactory receptor 905 [Source:RGD Symbol%3BAcc:1333582]
ENSRNOG00000060990	AABR07000382.1	--
ENSRNOG00000058425	AABR07000385.2	--
ENSRNOG00000055421	AABR07000385.1	--
ENSRNOG00000051831	AABR07000390.1	--
ENSRNOG00000052007	AABR07000392.1	--
ENSRNOG00000061685	AABR07000398.2	--
ENSRNOG00000047746	AABR07000398.1	--
ENSRNOG00000053888	AABR07000400.1	--
ENSRNOG00000055836	AABR07000402.1	--
ENSRNOG00000060657	AABR07000404.1	--
ENSRNOG00000059898	AABR07000410.1	--
ENSRNOG00000055789	AABR07000411.1	--
ENSRNOG00000055660	AABR07000433.1	--
ENSRNOG00000060284	AABR07000436.1	--
ENSRNOG00000056019	AC128394.2	--
ENSRNOG00000059861	AC128394.3	--
ENSRNOG00000056940	Cited2	Cbp/p300-interacting transactivator%2C with Glu/Asp-rich carboxy-terminal domain%2C 2 [Source:RGD Symbol%3BAcc:620112]
ENSRNOG00000055972	AC128394.1	--
ENSRNOG00000060021	Txlnb	taxilin beta [Source:RGD Symbol%3BAcc:1307979]
ENSRNOG00000060610	LOC100360362	hypothetical protein LOC100360362 [Source:RGD Symbol%3BAcc:2322291]
ENSRNOG00000060972	Heca	hdc homolog%2C cell cycle regulator [Source:RGD Symbol%3BAcc:1304818]
ENSRNOG00000051450	Abracl	ABRA C-terminal like [Source:RGD Symbol%3BAcc:1583256]
ENSRNOG00000059224	Reps1	RALBP1 associated Eps domain containing 1 [Source:RGD Symbol%3BAcc:1307131]
ENSRNOG00000055142	Ect2l	epithelial cell transforming sequence 2 oncogene-like [Source:MGI Symbol%3BAcc:MGI:3641723]
ENSRNOG00000052189	AABR07000452.1	--
ENSRNOG00000053331	AABR07000451.1	--
ENSRNOG00000053347	Ccdc28a	coiled-coil domain containing 28A [Source:RGD Symbol%3BAcc:1310326]
ENSRNOG00000059393	AABR07000455.1	--
ENSRNOG00000060603	Nhsl1	NHS-like 1 [Source:RGD Symbol%3BAcc:1308124]
ENSRNOG00000053735	Hebp2	heme binding protein 2 [Source:RGD Symbol%3BAcc:1311553]
ENSRNOG00000053184	AABR07000458.1	--
ENSRNOG00000011460	Arfgef3	ARFGEF family member 3 [Source:RGD Symbol%3BAcc:1309903]
ENSRNOG00000025799	RGD1560303	similar to hypothetical protein 4933423E17 [Source:RGD Symbol%3BAcc:1560303]
ENSRNOG00000011994	Perp	PERP%2C TP53 apoptosis effector [Source:RGD Symbol%3BAcc:1310294]
ENSRNOG00000049517	Tnfaip3	TNF alpha induced protein 3 [Source:RGD Symbol%3BAcc:1589275]
ENSRNOG00000058088	LOC102550206	uncharacterized LOC102550206 [Source:RGD Symbol%3BAcc:7505831]
ENSRNOG00000054373	AABR07000484.1	--
ENSRNOG00000012057	Olig3	oligodendrocyte transcription factor 3 [Source:RGD Symbol%3BAcc:1305997]
ENSRNOG00000053291	AABR07000493.1	--
ENSRNOG00000012074	Ifngr1	interferon gamma receptor 1 [Source:RGD Symbol%3BAcc:620570]
ENSRNOG00000012259	Il22ra2	interleukin 22 receptor subunit alpha 2 [Source:RGD Symbol%3BAcc:1303169]
ENSRNOG00000012286	Il20ra	interleukin 20 receptor subunit alpha [Source:RGD Symbol%3BAcc:1307335]
ENSRNOG00000057719	AC136053.1	--
ENSRNOG00000012311	Slc35d3	solute carrier family 35%2C member D3 [Source:RGD Symbol%3BAcc:1309428]
ENSRNOG00000012322	Pex7	peroxisomal biogenesis factor 7 [Source:RGD Symbol%3BAcc:1308483]
ENSRNOG00000031700	Map3k5	mitogen-activated protein kinase kinase kinase 5 [Source:RGD Symbol%3BAcc:1306565]
ENSRNOG00000054452	AABR07000497.1	--
ENSRNOG00000012701	Map7	microtubule-associated protein 7 [Source:RGD Symbol%3BAcc:1308866]
ENSRNOG00000053505	AABR07000501.1	--
ENSRNOG00000058050	Bclaf1	BCL2-associated transcription factor 1 [Source:RGD Symbol%3BAcc:1309704]
ENSRNOG00000013436	Pde7b	phosphodiesterase 7B [Source:RGD Symbol%3BAcc:621016]
ENSRNOG00000058518	AABR07000521.1	--
ENSRNOG00000053617	AABR07000523.1	--
ENSRNOG00000013969	Ahi1	Abelson helper integration site 1 [Source:RGD Symbol%3BAcc:1303040]
