Gene_ID	Gene_symbol	description
ENSG00000223972	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 [Source:HGNC Symbol%3BAcc:37102]
ENSG00000227232	WASH7P	WAS protein family homolog 7 pseudogene [Source:HGNC Symbol%3BAcc:38034]
ENSG00000243485	MIR1302-10	microRNA 1302-10 [Source:HGNC Symbol%3BAcc:38233]
ENSG00000237613	FAM138A	family with sequence similarity 138%2C member A [Source:HGNC Symbol%3BAcc:32334]
ENSG00000268020	OR4G4P	olfactory receptor%2C family 4%2C subfamily G%2C member 4 pseudogene [Source:HGNC Symbol%3BAcc:14822]
ENSG00000240361	OR4G11P	olfactory receptor%2C family 4%2C subfamily G%2C member 11 pseudogene [Source:HGNC Symbol%3BAcc:31276]
ENSG00000186092	OR4F5	olfactory receptor%2C family 4%2C subfamily F%2C member 5 [Source:HGNC Symbol%3BAcc:14825]
ENSG00000238009	RP11-34P13.7	--
ENSG00000239945	RP11-34P13.8	--
ENSG00000233750	CICP27	capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol%3BAcc:48835]
ENSG00000237683	AL627309.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:R4GN28]
ENSG00000268903	RP11-34P13.15	--
ENSG00000269981	RP11-34P13.16	--
ENSG00000239906	RP11-34P13.14	--
ENSG00000241860	RP11-34P13.13	--
ENSG00000222623	RNU6-1100P	RNA%2C U6 small nuclear 1100%2C pseudogene [Source:HGNC Symbol%3BAcc:48063]
ENSG00000241599	RP11-34P13.9	--
ENSG00000228463	AP006222.2	--
ENSG00000241670	AP006222.1	--
ENSG00000237094	RP4-669L17.10	--
ENSG00000250575	RP4-669L17.8	--
ENSG00000233653	CICP7	capicua transcriptional repressor pseudogene 7 [Source:HGNC Symbol%3BAcc:37756]
ENSG00000224813	RP4-669L17.4	--
ENSG00000235249	OR4F29	olfactory receptor%2C family 4%2C subfamily F%2C member 29 [Source:HGNC Symbol%3BAcc:31275]
ENSG00000269732	WBP1LP7	WW domain binding protein 1-like pseudogene 7 [Source:HGNC Symbol%3BAcc:43955]
ENSG00000256186	AL732372.1	--
ENSG00000236601	RP4-669L17.2	--
ENSG00000236743	RP5-857K21.15	--
ENSG00000236679	RP4-669L17.1	--
ENSG00000231709	RP5-857K21.1	--
ENSG00000235146	RP5-857K21.2	--
