Species	Symbol	Ensembl	Family	Protein	Entrez ID
Rattus_norvegicus	Bhlhe41	ENSRNOG00000048961	bHLH	ENSRNOP00000064008;	117095
Rattus_norvegicus	Gbx2	ENSRNOG00000019495	Homeobox	ENSRNOP00000026419;	114500
Rattus_norvegicus	Zfp420	ENSRNOG00000037556	zf-C2H2	ENSRNOP00000034962;	100359464
Rattus_norvegicus	Myf6	ENSRNOG00000004878	bHLH	ENSRNOP00000006523;	25714
Rattus_norvegicus	Nkx6-2	ENSRNOG00000017748	Homeobox	ENSRNOP00000051771;	309095
Rattus_norvegicus	Zbtb42	ENSRNOG00000037562	ZBTB	ENSRNOP00000035859;ENSRNOP00000035859;	691556
Rattus_norvegicus	Gfi1b	ENSRNOG00000011353	zf-C2H2	ENSRNOP00000070622;ENSRNOP00000015236;	311832
Rattus_norvegicus	Tfap2a	ENSRNOG00000015522	AP-2	ENSRNOP00000040925;	306862
Rattus_norvegicus	Zfp445	ENSRNOG00000025554	zf-C2H2	ENSRNOP00000036378;	301076
Rattus_norvegicus	Hes7	ENSRNOG00000007391	bHLH	ENSRNOP00000009757;	287423
Rattus_norvegicus	Rcor1	ENSRNOG00000008067	MYB	ENSRNOP00000010676;	102554884
Rattus_norvegicus	Gli3	ENSRNOG00000014395	zf-C2H2	ENSRNOP00000019396;ENSRNOP00000070877;	140588
Rattus_norvegicus	Nr2f1	ENSRNOG00000014795	RXR-like	ENSRNOP00000020044;ENSRNOP00000076343;	81808
Rattus_norvegicus	Arnt2	ENSRNOG00000013017	bHLH	ENSRNOP00000017636;	25243
Rattus_norvegicus	Klf9	ENSRNOG00000014215	zf-C2H2	ENSRNOP00000019367;	117560
Rattus_norvegicus	AABR07045786.1	ENSRNOG00000055923	HMG	ENSRNOP00000074562;	-
Rattus_norvegicus	Nfe2l3	ENSRNOG00000010886	TF_bZIP	ENSRNOP00000014826;	312331
Rattus_norvegicus	Zfp709	ENSRNOG00000016186	zf-C2H2	ENSRNOP00000021741;ENSRNOP00000075334;	266773
Rattus_norvegicus	AABR07035107.1	ENSRNOG00000000891	zf-C2H2	ENSRNOP00000034232;	-
Rattus_norvegicus	Creb3l1	ENSRNOG00000005413	TF_bZIP	ENSRNOP00000007771;	362165
Rattus_norvegicus	RGD1566386	ENSRNOG00000028651	zf-C2H2	ENSRNOP00000038237;ENSRNOP00000071790;	304336
Rattus_norvegicus	Zfp182	ENSRNOG00000047132	zf-C2H2	ENSRNOP00000067088;	100911831
Rattus_norvegicus	Zfp687	ENSRNOG00000021026	zf-C2H2	ENSRNOP00000028553;	100363361
Rattus_norvegicus	Rhox5	ENSRNOG00000046548	Homeobox	ENSRNOP00000075927;	24631
Rattus_norvegicus	AABR07060287.1	ENSRNOG00000049746	HMG	ENSRNOP00000063563;	-
Rattus_norvegicus	Zfp523	ENSRNOG00000000501	zf-C2H2	ENSRNOP00000000595;ENSRNOP00000074943;	361809
Rattus_norvegicus	Mysm1	ENSRNOG00000026299	MYB	ENSRNOP00000030043;	298247
Rattus_norvegicus	Cebpg	ENSRNOG00000021144	TF_bZIP	ENSRNOP00000028703;	25301
Rattus_norvegicus	Zscan2	ENSRNOG00000022164	zf-C2H2	ENSRNOP00000029851;	683603
Rattus_norvegicus	Zfp872	ENSRNOG00000050600	zf-C2H2	ENSRNOP00000066435;	-
Rattus_norvegicus	Zfp799	ENSRNOG00000032552	zf-C2H2	ENSRNOP00000038590;ENSRNOP00000071785;	494339
Rattus_norvegicus	Myt1	ENSRNOG00000017346	zf-C2HC	ENSRNOP00000032420;	362291
Rattus_norvegicus	LOC103693776	ENSRNOG00000025923	zf-MIZ	ENSRNOP00000042684;	103693776
Rattus_norvegicus	AABR07002885.1	ENSRNOG00000052023	zf-C2H2	ENSRNOP00000075093;	-
Rattus_norvegicus	Mesp2	ENSRNOG00000014925	bHLH	ENSRNOP00000020047;	293046
Rattus_norvegicus	Prdm10	ENSRNOG00000007853	zf-C2H2	ENSRNOP00000010423;	500964
Rattus_norvegicus	Zfp763	ENSRNOG00000057416	zf-C2H2	ENSRNOP00000070323;	314586
Rattus_norvegicus	Etv2	ENSRNOG00000024288	ETS	ENSRNOP00000036461;	361544
Rattus_norvegicus	Batf3	ENSRNOG00000003716	TF_bZIP	ENSRNOP00000004962;	60462
Rattus_norvegicus	Eomes	ENSRNOG00000042140	T-box	ENSRNOP00000013530;	-
Rattus_norvegicus	LOC103690163	ENSRNOG00000046305	zf-C2H2	ENSRNOP00000064174;	103690163
Rattus_norvegicus	Rreb1	ENSRNOG00000015701	zf-C2H2	ENSRNOP00000056967;ENSRNOP00000073072;	306873
Rattus_norvegicus	Nfat5	ENSRNOG00000011879	RHD	ENSRNOP00000071907;ENSRNOP00000017005;	307820
Rattus_norvegicus	LOC100361016	ENSRNOG00000021972	Homeobox	ENSRNOP00000048058;	-
Rattus_norvegicus	Tfcp2l1	ENSRNOG00000002414	CP2	ENSRNOP00000076006;ENSRNOP00000003280;	304741
Rattus_norvegicus	Tulp4	ENSRNOG00000018012	Tub	ENSRNOP00000024412;	499016
Rattus_norvegicus	Rxrg	ENSRNOG00000004537	RXR-like	ENSRNOP00000070882;ENSRNOP00000006117;	83574
Rattus_norvegicus	Evx2	ENSRNOG00000001589	Homeobox	ENSRNOP00000002156;	288155
Rattus_norvegicus	AABR07001099.1	ENSRNOG00000017963	zf-C2H2	ENSRNOP00000024149;	-
Rattus_norvegicus	Nanog	ENSRNOG00000008368	Homeobox	ENSRNOP00000071020;ENSRNOP00000063016;	414065
Rattus_norvegicus	Ubp1	ENSRNOG00000009729	CP2	ENSRNOP00000013050;	301038
Rattus_norvegicus	Id4	ENSRNOG00000016099	bHLH	ENSRNOP00000021550;	291023
Rattus_norvegicus	Twist2	ENSRNOG00000020355	bHLH	ENSRNOP00000027597;	59327
Rattus_norvegicus	Zfp536	ENSRNOG00000014163	zf-C2H2	ENSRNOP00000018956;	292820
Rattus_norvegicus	LOC103689922	ENSRNOG00000047951	Homeobox	ENSRNOP00000064639;	-
Rattus_norvegicus	Arid3c	ENSRNOG00000013416	ARID	ENSRNOP00000039046;	502946
Rattus_norvegicus	Bnc2	ENSRNOG00000006553	zf-C2H2	ENSRNOP00000075619;ENSRNOP00000063132;	298189
Rattus_norvegicus	Sox9	ENSRNOG00000002607	HMG	ENSRNOP00000003511;	140586
Rattus_norvegicus	Prdm13	ENSRNOG00000007683	zf-C2H2	ENSRNOP00000010126;	689695
Rattus_norvegicus	Terb1	ENSRNOG00000055097	MYB	ENSRNOP00000075491;ENSRNOP00000075402;	307615
Rattus_norvegicus	Bbx	ENSRNOG00000001971	HMG	ENSRNOP00000070428;ENSRNOP00000002700;	303970
Rattus_norvegicus	Hdx	ENSRNOG00000037799	Homeobox	ENSRNOP00000075430;ENSRNOP00000054189;	-
Rattus_norvegicus	Pou2f3	ENSRNOG00000009118	Pou	ENSRNOP00000012170;	116544
Rattus_norvegicus	AABR07029613.1	ENSRNOG00000038478	HMG	ENSRNOP00000055435;	-
Rattus_norvegicus	Zfp324	ENSRNOG00000027436	zf-C2H2	ENSRNOP00000036344;	365192
Rattus_norvegicus	AABR07005779.3	ENSRNOG00000046480	zf-C2H2	ENSRNOP00000064801;	102553962
Rattus_norvegicus	AABR07025825.1	ENSRNOG00000032977	zf-C2H2	ENSRNOP00000039049;	-
Rattus_norvegicus	Zbtb12	ENSRNOG00000000418	ZBTB	ENSRNOP00000000476;ENSRNOP00000000476;	309613
Rattus_norvegicus	RGD1564836	ENSRNOG00000026969	HMGA	ENSRNOP00000031710;	302676
Rattus_norvegicus	Six5	ENSRNOG00000060146	Homeobox	ENSRNOP00000074243;	308406
Rattus_norvegicus	Foxc1	ENSRNOG00000017800	Fork_head	ENSRNOP00000067211;	364706
Rattus_norvegicus	Mbd1	ENSRNOG00000024104	MBD	ENSRNOP00000037640;	291439
Rattus_norvegicus	LOC102554913	ENSRNOG00000043048	zf-C2H2	ENSRNOP00000039133;	100188984
Rattus_norvegicus	Phox2b	ENSRNOG00000051929	Homeobox	ENSRNOP00000070623;ENSRNOP00000075383;	364152
Rattus_norvegicus	Rara	ENSRNOG00000009972	THR-like	ENSRNOP00000008659;ENSRNOP00000069776;	24705
Rattus_norvegicus	Zfp93	ENSRNOG00000042101	zf-C2H2	ENSRNOP00000017008;	296399
Rattus_norvegicus	AABR07003056.1	ENSRNOG00000037366	zf-C2H2	ENSRNOP00000029112;	-
Rattus_norvegicus	Klf13	ENSRNOG00000015822	zf-C2H2	ENSRNOP00000063436;	499171
Rattus_norvegicus	Foxo1	ENSRNOG00000013397	Fork_head	ENSRNOP00000018244;	84482
Rattus_norvegicus	Snapc4	ENSRNOG00000018845	MYB	ENSRNOP00000061702;ENSRNOP00000058393;	362088
Rattus_norvegicus	Zbtb8a	ENSRNOG00000008300	ZBTB	ENSRNOP00000010983;ENSRNOP00000010983;	313049
Rattus_norvegicus	Fosl2	ENSRNOG00000052357	TF_bZIP	ENSRNOP00000070970;	-
Rattus_norvegicus	En2	ENSRNOG00000006846	Homeobox	ENSRNOP00000008951;	499964
Rattus_norvegicus	Zfp579	ENSRNOG00000016608	zf-C2H2	ENSRNOP00000022349;	308339
Rattus_norvegicus	Cebpa	ENSRNOG00000010918	TF_bZIP	ENSRNOP00000063123;	24252
Rattus_norvegicus	Otp	ENSRNOG00000010560	Homeobox	ENSRNOP00000014036;	294640
Rattus_norvegicus	AABR07002868.1	ENSRNOG00000055519	zf-C2H2	ENSRNOP00000071787;	-
Rattus_norvegicus	E2f6	ENSRNOG00000004449	E2F	ENSRNOP00000057241;	313978
Rattus_norvegicus	Usf2	ENSRNOG00000053725	bHLH	ENSRNOP00000072660;	81817
Rattus_norvegicus	Elk3	ENSRNOG00000004367	ETS	ENSRNOP00000005911;	362871
Rattus_norvegicus	Id1	ENSRNOG00000021750	bHLH	ENSRNOP00000052261;	25261
Rattus_norvegicus	Phox2a	ENSRNOG00000019706	Homeobox	ENSRNOP00000026702;	-
Rattus_norvegicus	Bhlhe40	ENSRNOG00000007152	bHLH	ENSRNOP00000009564;	79431
Rattus_norvegicus	Wt1	ENSRNOG00000013074	zf-C2H2	ENSRNOP00000060038;	24883
Rattus_norvegicus	Lhx4	ENSRNOG00000003595	Homeobox	ENSRNOP00000076187;ENSRNOP00000060479;	-
Rattus_norvegicus	Prdm12	ENSRNOG00000009218	zf-C2H2	ENSRNOP00000012234;	688699
Rattus_norvegicus	LOC691272	ENSRNOG00000043229	Homeobox	ENSRNOP00000061063;	691272
Rattus_norvegicus	Smad5	ENSRNOG00000022870	MH1	ENSRNOP00000016704;	59328
Rattus_norvegicus	Figla	ENSRNOG00000015877	bHLH	ENSRNOP00000021272;	500239
Rattus_norvegicus	AABR07001926.1	ENSRNOG00000028767	zf-C2H2	ENSRNOP00000035222;	-
Rattus_norvegicus	Zbtb45	ENSRNOG00000027459	ZBTB	ENSRNOP00000033852;ENSRNOP00000033852;	308366
Rattus_norvegicus	Rhox11	ENSRNOG00000028044	Homeobox	ENSRNOP00000029223;	298346
Rattus_norvegicus	Tbx18	ENSRNOG00000010685	T-box	ENSRNOP00000014657;	315870
Rattus_norvegicus	Ovol3	ENSRNOG00000024880	zf-C2H2	ENSRNOP00000041919;	365226
Rattus_norvegicus	Irf3	ENSRNOG00000043388	IRF	ENSRNOP00000027786;	292892
Rattus_norvegicus	Zfp300	ENSRNOG00000046469	zf-C2H2	ENSRNOP00000067586;	100364132
Rattus_norvegicus	LOC102555377	ENSRNOG00000026569	zf-C2H2	ENSRNOP00000037245;	102555377
Rattus_norvegicus	Tcf4	ENSRNOG00000012405	bHLH	ENSRNOP00000070021;ENSRNOP00000020431;ENSRNOP00000070343;	84382
Rattus_norvegicus	Hmx1	ENSRNOG00000009154	Homeobox	ENSRNOP00000012304;	360960
Rattus_norvegicus	Nr1d1	ENSRNOG00000009329	THR-like	ENSRNOP00000012537;ENSRNOP00000052200;	252917
Rattus_norvegicus	Zfhx2	ENSRNOG00000025634	Homeobox	ENSRNOP00000075520;ENSRNOP00000029097;	305888
Rattus_norvegicus	Foxl2	ENSRNOG00000017190	Fork_head	ENSRNOP00000023091;	367152
Rattus_norvegicus	Nr3c2	ENSRNOG00000034007	ESR-like	ENSRNOP00000045942;	25672
Rattus_norvegicus	Zfp358	ENSRNOG00000000974	zf-C2H2	ENSRNOP00000001289;	360754
Rattus_norvegicus	Nfyb	ENSRNOG00000010309	NF-YB	ENSRNOP00000061405;ENSRNOP00000071810;	25336
Rattus_norvegicus	Klf8	ENSRNOG00000039057	zf-C2H2	ENSRNOP00000050482;	302582
Rattus_norvegicus	Nr1i2	ENSRNOG00000002906	THR-like	ENSRNOP00000003934;	84385
Rattus_norvegicus	Zbtb47	ENSRNOG00000019382	ZBTB	ENSRNOP00000041105;ENSRNOP00000041105;	316087
Rattus_norvegicus	Hoxa13	ENSRNOG00000053148	Homeobox	ENSRNOP00000073370;	500129
Rattus_norvegicus	Zfp317	ENSRNOG00000006684	zf-C2H2	ENSRNOP00000033879;ENSRNOP00000068739;	500950
Rattus_norvegicus	Foxo4	ENSRNOG00000033316	Fork_head	ENSRNOP00000042383;ENSRNOP00000068509;ENSRNOP00000068105;	302415
Rattus_norvegicus	LOC100909856	ENSRNOG00000025724	zf-C2H2	ENSRNOP00000031224;	362591
Rattus_norvegicus	Nfkb2	ENSRNOG00000019311	RHD	ENSRNOP00000026235;	309452
Rattus_norvegicus	LOC102555083	ENSRNOG00000050661	zf-C2H2	ENSRNOP00000067546;	102555083
Rattus_norvegicus	Zfp788	ENSRNOG00000014380	zf-C2H2	ENSRNOP00000019278;	-
Rattus_norvegicus	Zfp52	ENSRNOG00000042826	zf-C2H2	ENSRNOP00000044868;	361487
Rattus_norvegicus	Tada2b	ENSRNOG00000027326	MYB	ENSRNOP00000037910;	289717
Rattus_norvegicus	Zfp710	ENSRNOG00000014278	zf-C2H2	ENSRNOP00000061568;	293044
Rattus_norvegicus	AABR07055826.1	ENSRNOG00000054392	zf-C2H2	ENSRNOP00000075050;	-
Rattus_norvegicus	Zfp113	ENSRNOG00000001341	zf-C2H2	ENSRNOP00000001815;	100912096
Rattus_norvegicus	Tcf3	ENSRNOG00000051499	bHLH	ENSRNOP00000074654;ENSRNOP00000071280;	171046
Rattus_norvegicus	Foxn1	ENSRNOG00000010870	Fork_head	ENSRNOP00000014672;	287469
Rattus_norvegicus	Bach2	ENSRNOG00000006170	TF_bZIP	ENSRNOP00000063410;	313125
Rattus_norvegicus	Irf1	ENSRNOG00000008144	IRF	ENSRNOP00000010968;	24508
Rattus_norvegicus	LOC102556092	ENSRNOG00000021705	zf-C2H2	ENSRNOP00000001338;	102556092
Rattus_norvegicus	Klf11	ENSRNOG00000054259	zf-C2H2	ENSRNOP00000075389;	313994
Rattus_norvegicus	Mixl1	ENSRNOG00000048085	Homeobox	ENSRNOP00000064882;	108348182
Rattus_norvegicus	Dmrt2	ENSRNOG00000016301	DM	ENSRNOP00000059880;	309430
Rattus_norvegicus	Ddit3	ENSRNOG00000006789	TF_bZIP	ENSRNOP00000071840;ENSRNOP00000008941;	29467
Rattus_norvegicus	Tfec	ENSRNOG00000061595	bHLH	ENSRNOP00000073175;	26296
Rattus_norvegicus	Zbtb1	ENSRNOG00000058593	ZBTB	ENSRNOP00000072596;	314246
Rattus_norvegicus	Foxj2	ENSRNOG00000009000	Fork_head	ENSRNOP00000069705;ENSRNOP00000062121;	502886
Rattus_norvegicus	LOC688583	ENSRNOG00000011096	HMG	ENSRNOP00000015044;	688583
Rattus_norvegicus	Tfe3	ENSRNOG00000009605	bHLH	ENSRNOP00000012830;	317376
Rattus_norvegicus	Tbx15	ENSRNOG00000019565	T-box	ENSRNOP00000060064;	295315
Rattus_norvegicus	Nfib	ENSRNOG00000009795	CTF/NFI	ENSRNOP00000063791;ENSRNOP00000060839;ENSRNOP00000013092;	29227
Rattus_norvegicus	Sox12	ENSRNOG00000007514	HMG	ENSRNOP00000009852;	689988
Rattus_norvegicus	LOC100365363	ENSRNOG00000059492	zf-C2H2	ENSRNOP00000071548;	100365363
Rattus_norvegicus	Glis3	ENSRNOG00000014768	zf-C2H2	ENSRNOP00000019816;	-
Rattus_norvegicus	Zfp668	ENSRNOG00000016683	zf-C2H2	ENSRNOP00000022452;	309002
Rattus_norvegicus	Adnp	ENSRNOG00000010975	Homeobox	ENSRNOP00000014595;	64622
Rattus_norvegicus	LOC103690038	ENSRNOG00000048894	zf-C2H2	ENSRNOP00000067844;	365224
Rattus_norvegicus	Zfp467	ENSRNOG00000007707	zf-C2H2	ENSRNOP00000073578;ENSRNOP00000010377;	500110
Rattus_norvegicus	Tbxt	ENSRNOG00000012229	T-box	ENSRNOP00000016471;	292301
Rattus_norvegicus	AABR07001910.1	ENSRNOG00000051570	zf-C2H2	ENSRNOP00000074554;	-
Rattus_norvegicus	Rfx4	ENSRNOG00000051536	RFX	ENSRNOP00000074585;	500818
Rattus_norvegicus	Zfp267	ENSRNOG00000042283	zf-C2H2	ENSRNOP00000060608;	100359945
Rattus_norvegicus	Esr2	ENSRNOG00000005343	ESR-like	ENSRNOP00000043144;ENSRNOP00000040505;ENSRNOP00000041339;ENSRNOP00000007109;	25149
Rattus_norvegicus	LOC100912608	ENSRNOG00000050252	Homeobox	ENSRNOP00000072119;ENSRNOP00000072342;ENSRNOP00000075538;	100912608
Rattus_norvegicus	Cdx1	ENSRNOG00000060334	Homeobox	ENSRNOP00000071345;	364883
Rattus_norvegicus	Hoxa6	ENSRNOG00000048917	Homeobox	ENSRNOP00000075013;ENSRNOP00000064985;ENSRNOP00000008542;	100909604
Rattus_norvegicus	Tulp3	ENSRNOG00000005767	Tub	ENSRNOP00000007634;	688749
Rattus_norvegicus	Isx	ENSRNOG00000039808	Homeobox	ENSRNOP00000057796;	682968
Rattus_norvegicus	Cux2	ENSRNOG00000001259	CUT	ENSRNOP00000001697;	288665
Rattus_norvegicus	Tox	ENSRNOG00000010777	HMG	ENSRNOP00000014661;	362481
Rattus_norvegicus	Npas2	ENSRNOG00000013408	bHLH	ENSRNOP00000056327;	316351
Rattus_norvegicus	Twist1	ENSRNOG00000011101	bHLH	ENSRNOP00000014763;	85489
Rattus_norvegicus	Foxe3	ENSRNOG00000007770	Fork_head	ENSRNOP00000010208;	171302
Rattus_norvegicus	AABR07002623.1	ENSRNOG00000038251	Homeobox	ENSRNOP00000055029;	-
Rattus_norvegicus	AC120712.4	ENSRNOG00000059938	zf-C2H2	ENSRNOP00000071844;	-
Rattus_norvegicus	Prdm6	ENSRNOG00000030486	zf-C2H2	ENSRNOP00000041369;	307305
Rattus_norvegicus	Zfp260	ENSRNOG00000046867	zf-C2H2	ENSRNOP00000065656;	-
Rattus_norvegicus	Pou5f1	ENSRNOG00000046487	Pou	ENSRNOP00000065216;	294562
Rattus_norvegicus	Foxp4	ENSRNOG00000022804	Fork_head	ENSRNOP00000060921;ENSRNOP00000070287;	363185
Rattus_norvegicus	LOC100125368	ENSRNOG00000048864	zf-C2H2	ENSRNOP00000045941;	102551539
Rattus_norvegicus	Etv1	ENSRNOG00000006867	ETS	ENSRNOP00000059718;ENSRNOP00000068767;	362733
Rattus_norvegicus	Runx3	ENSRNOG00000054217	Runt	ENSRNOP00000075140;ENSRNOP00000074332;	156726
Rattus_norvegicus	Zbtb21	ENSRNOG00000001623	ZBTB	ENSRNOP00000049174;	304056
Rattus_norvegicus	Zfp455	ENSRNOG00000031576	zf-C2H2	ENSRNOP00000049638;ENSRNOP00000066922;	286979
Rattus_norvegicus	LOC100910896	ENSRNOG00000058235	ETS	ENSRNOP00000074517;	100910896
Rattus_norvegicus	Gtf2i	ENSRNOG00000001479	GTF2I	ENSRNOP00000073166;ENSRNOP00000002020;ENSRNOP00000040835;ENSRNOP00000075956;	353256
Rattus_norvegicus	Mef2a	ENSRNOG00000047756	SRF	ENSRNOP00000065122;ENSRNOP00000068690;ENSRNOP00000064552;ENSRNOP00000068554;	309957
Rattus_norvegicus	Usf3	ENSRNOG00000027756	bHLH	ENSRNOP00000076256;ENSRNOP00000040722;	303946
Rattus_norvegicus	Zfp322a	ENSRNOG00000017318	zf-C2H2	ENSRNOP00000060068;	680201
Rattus_norvegicus	Grhl2	ENSRNOG00000007000	CP2	ENSRNOP00000069927;ENSRNOP00000009337;	299979
Rattus_norvegicus	Cdx4	ENSRNOG00000002974	Homeobox	ENSRNOP00000003973;	302400
Rattus_norvegicus	Nr0b2	ENSRNOG00000007229	Miscellaneous	ENSRNOP00000009683;	117274
Rattus_norvegicus	Hesx1	ENSRNOG00000014133	Homeobox	ENSRNOP00000019113;	498575
Rattus_norvegicus	Plag1	ENSRNOG00000008846	zf-C2H2	ENSRNOP00000011721;	297804
Rattus_norvegicus	Hmgxb4	ENSRNOG00000013878	HMG	ENSRNOP00000061759;	307667
Rattus_norvegicus	Zfhx4	ENSRNOG00000008765	Homeobox	ENSRNOP00000011641;	310250
Rattus_norvegicus	Myrfl	ENSRNOG00000021833	NDT80/PhoG	ENSRNOP00000062776;	362879
Rattus_norvegicus	Barx2	ENSRNOG00000008592	Homeobox	ENSRNOP00000011386;	679701
Rattus_norvegicus	Zfp14	ENSRNOG00000030932	zf-C2H2	ENSRNOP00000074129;ENSRNOP00000035384;	499124
Rattus_norvegicus	LOC100909657	ENSRNOG00000014552	zf-C2H2	ENSRNOP00000066855;	100909657
Rattus_norvegicus	Mier2	ENSRNOG00000000175	MYB	ENSRNOP00000068538;ENSRNOP00000060254;	362841
Rattus_norvegicus	LOC103689929	ENSRNOG00000058333	Homeobox	ENSRNOP00000074443;	313451
Rattus_norvegicus	Pax7	ENSRNOG00000018739	PAX	ENSRNOP00000025488;	500574
Rattus_norvegicus	Hoxb13	ENSRNOG00000007491	Homeobox	ENSRNOP00000009934;	303480
Rattus_norvegicus	Camta1	ENSRNOG00000018602	CG-1	ENSRNOP00000059056;	362665
